race_id,horse_id,horse_number,horse_name,jockey_id,trainer_id,gate,carried_weight_kg,available_at
r-2026-0614-hanshin-11,nk-2022105102,,netkeiba-2022105102,j-01102,t-01151,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2021106787,,netkeiba-2021106787,j-01170,t-01169,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2020103101,,netkeiba-2020103101,j-01015,t-01018,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2021102224,,netkeiba-2021102224,j-01216,t-01110,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2021100913,,netkeiba-2021100913,j-01126,t-01161,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2021110048,,netkeiba-2021110048,j-01163,t-01075,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2021105829,,netkeiba-2021105829,j-01174,t-01061,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2021106548,,netkeiba-2021106548,j-01213,t-01018,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2021105143,,netkeiba-2021105143,j-05386,t-01164,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2021105587,,netkeiba-2021105587,j-01171,t-01170,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2021100651,,netkeiba-2021100651,j-00732,t-01166,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2020105786,,netkeiba-2020105786,j-01088,t-01110,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2022104902,,netkeiba-2022104902,j-00660,t-01160,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2022106120,,netkeiba-2022106120,j-01091,t-01163,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2018104638,,netkeiba-2018104638,j-01191,t-01185,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2022105081,,netkeiba-2022105081,j-05585,t-01159,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2021103272,,netkeiba-2021103272,j-00666,t-01140,,58.0,2026-06-10T17:00:00+09:00
r-2026-0614-hanshin-11,nk-2021105898,,netkeiba-2021105898,j-05339,t-01126,,56.0,2026-06-10T17:00:00+09:00
